t,day,dayn,hour,weekend,glucose,true_trend,true_cycle,true_season
0,0,1,0,0,152,150,0,0
1,0.0104,1,0.25,0,153,149.988,0,0
2,0.0208,1,0.5,0,151,149.975,0,0
3,0.0312,1,0.75,0,149,149.963,0,0
4,0.0417,1,1,0,152,149.95,0,0
5,0.0521,1,1.25,0,154,149.938,0,0
6,0.0625,1,1.5,0,156,149.925,0,0.001
7,0.0729,1,1.75,0,152,149.912,0,0.003
8,0.0833,1,2,0,148,149.9,0,0.007
9,0.0938,1,2.25,0,151,149.887,0,0.015
10,0.1042,1,2.5,0,151,149.875,0,0.035
11,0.1146,1,2.75,0,150,149.863,0,0.073
12,0.125,1,3,0,147,149.85,0,0.147
13,0.1354,1,3.25,0,145,149.838,0,0.278
14,0.1458,1,3.5,0,146,149.825,0,0.497
15,0.1562,1,3.75,0,146,149.812,0,0.843
16,0.1667,1,4,0,147,149.8,0,1.352
17,0.1771,1,4.25,0,155,149.787,0,2.051
18,0.1875,1,4.5,0,157,149.775,0,2.943
19,0.1979,1,4.75,0,162,149.762,0,3.995
20,0.2083,1,5,0,163,149.75,0,5.129
21,0.2188,1,5.25,0,163,149.738,0,6.23
22,0.2292,1,5.5,0,156,149.725,0,7.159
23,0.2396,1,5.75,0,158,149.713,0,7.781
24,0.25,1,6,0,156,149.7,0,8
25,0.2604,1,6.25,0,152,149.688,0,7.781
26,0.2708,1,6.5,0,152,149.675,0,7.159
27,0.2812,1,6.75,0,156,149.662,0,8.101
28,0.2917,1,7,0,179,149.65,0,30.141
29,0.3021,1,7.25,0,202,149.637,0,40.813
30,0.3125,1,7.5,0,202,149.625,0,44.369
31,0.3229,1,7.75,0,187,149.613,0,43.684
32,0.3333,1,8,0,183,149.6,0,40.655
33,0.3438,1,8.25,0,177,149.588,0,36.497
34,0.3542,1,8.5,0,171,149.575,0,31.961
35,0.3646,1,8.75,0,168,149.562,0,27.486
36,0.375,1,9,0,165,149.55,0,23.313
37,0.3854,1,9.25,0,165,149.537,0,19.558
38,0.3958,1,9.5,0,166,149.525,0,16.26
39,0.4062,1,9.75,0,150,149.512,0,13.417
40,0.4167,1,10,0,147,149.5,0,11
41,0.4271,1,10.25,0,161,149.488,0,8.967
42,0.4375,1,10.5,0,154,149.475,0,7.274
43,0.4479,1,10.75,0,153,149.463,0,5.875
44,0.4583,1,11,0,156,149.45,0,4.727
45,0.4688,1,11.25,0,154,149.438,0,3.791
46,0.4792,1,11.5,0,155,149.425,0,3.03
47,0.4896,1,11.75,0,156,149.412,0,2.416
48,0.5,1,12,0,154,149.4,0,1.921
49,0.5104,1,12.25,0,156,149.387,0,1.524
50,0.5208,1,12.5,0,159,149.375,0,1.207
51,0.5312,1,12.75,0,166,149.363,0,12.56
52,0.5417,1,13,0,170,149.35,0,21.102
53,0.5521,1,13.25,0,169,149.338,0,24.761
54,0.5625,1,13.5,0,170,149.325,0,25.404
55,0.5729,1,13.75,0,154,149.312,0,24.278
56,0.5833,1,14,0,157,149.3,0,22.205
57,0.5938,1,14.25,0,156,149.287,0,19.709
58,0.6042,1,14.5,0,157,149.275,0,17.117
59,0.6146,1,14.75,0,152,149.262,0,14.623
60,0.625,1,15,0,157,149.25,0,12.332
61,0.6354,1,15.25,0,161,149.238,0,10.293
62,0.6458,1,15.5,0,159,149.225,0,8.517
