ppm,intensity
0.95,-0.0384
0.9515,0.021
0.953,0.0113
0.9545,0.0144
0.956,-0.0179
0.9575,-0.011
0.959,-0.0177
0.9605,0.0319
0.962,0.0017
0.9635,0.0103
0.965,0.0072
0.9665,-9e-04
0.968,0.0154
0.9695,-0.0137
0.971,0.0174
0.9725,0.0179
0.974,0.0161
0.9755,0.0228
0.977,0.0263
0.9785,-0.015
0.98,-0.0106
0.9815,-0.0056
0.983,-0.0292
0.9845,0.0291
0.986,0.0074
0.9875,0.0334
0.989,0.0222
0.9905,0.0135
0.992,0.0233
0.9935,0.0402
0.995,-0.0192
0.9965,0.0079
0.998,-0.0095
0.9995,-0.0108
1.001,0.0024
1.0025,0.0377
1.004,0.0092
1.0055,0.0272
1.007,0.0424
1.0085,0.0301
1.01,0.0221
1.0115,0.0274
1.013,0.0157
1.0145,0.0425
1.016,0.0375
1.0175,0.0192
1.019,0.0509
1.0205,0.0557
1.022,0.0738
1.0235,0.0777
1.025,0.0835
1.0265,0.0833
1.028,0.121
1.0295,0.1423
1.031,0.1774
1.0325,0.2322
1.034,0.3113
1.0355,0.4099
1.037,0.5018
1.0385,0.5865
1.04,0.5938
1.0415,0.5443
1.043,0.482
1.0445,0.3722
1.046,0.3188
1.0475,0.2542
1.049,0.1786
1.0505,0.143
1.052,0.1351
1.0535,0.1062
1.055,0.0948
1.0565,0.074
1.058,0.0359
1.0595,0.0838
1.061,0.0426
1.0625,0.0452
1.064,0.0089
1.0655,0.0201
1.067,0.038
1.0685,0.0361
1.07,0.0251
1.0715,0.0388
1.073,0.0141
1.0745,0.0476
1.076,0.0215
1.0775,0.0181
1.079,0.0195
1.0805,-0.0182
1.082,0.0562
1.0835,0.0186
1.085,-0.0032
1.0865,-0.01
1.088,-0.0064
1.0895,-0.0165
1.091,0.0133
1.0925,0.0133
1.094,-0.0012
1.0955,0.0262
1.097,0.0409
1.0985,0.0138
1.1,-0.0089
1.1015,-0.0052
1.103,-0.0044
1.1045,0
1.106,2e-04
1.1075,0.0019
1.109,0.0402
1.1105,0.0192
1.112,0.0047
1.1135,0.0147
1.115,0.0174
1.1165,-0.0087
1.118,0.0056
1.1195,-0.0014
1.121,0.0014
1.1225,0.0197
1.124,-0.0061
1.1255,-0.0232
1.127,0.0155
1.1285,0.0216
1.13,0.0151
1.1315,0.0151
1.133,0.0243
1.1345,0.0236
1.136,0.0079
1.1375,-0.0344
1.139,-0.0118
1.1405,0.0128
1.142,-0.0016
1.1435,0.0232
1.145,0.0141
1.1465,-0.0415
1.148,0.0126
1.1495,0.0155
1.151,-0.0205
1.1525,0.0198
1.154,0.0063
1.1555,-0.0071
1.157,-0.0087
1.1585,-0.0046
1.16,0.0282
1.1615,0.0283
1.163,0.0267
1.1645,0.0232
1.166,0.0116
1.1675,-0.0081
1.169,0.0339
1.1705,5e-04
1.172,0.0343
1.1735,0.0265
1.175,0.0538
1.1765,0.0409
1.178,0.0339
1.1795,0.0045
1.181,0.0311
1.1825,0.0549
1.184,0.0183
1.1855,0.0479
1.187,0.0607
1.1885,0.0823
1.19,0.0793
1.1915,0.1235
1.193,0.1503
1.1945,0.1808
1.196,0.2458
1.1975,0.2923
1.199,0.3459
1.2005,0.3502
1.202,0.3118
1.2035,0.2565
1.205,0.2077
1.2065,0.1664
1.208,0.14
1.2095,0.0906
1.211,0.0748
1.2125,0.0762
1.214,0.0812
1.2155,0.0693
1.217,0.0575
1.2185,0.0233
1.22,-0.0041
1.2215,0.0299
1.223,0.0096
1.2245,0.0302
1.226,0.0136
1.2275,0.0226
1.229,0.0199
1.2305,0.0126
1.232,0.015
1.2335,0.0085
1.235,0.0212
1.2365,0.0164
1.238,0.0444
1.2395,0.0191
1.241,-0.0104
1.2425,0.0169
1.244,0.0192
1.2455,0.0178
1.247,-0.0087
1.2485,0.0051
1.25,0.0161
1.2515,0.0173
1.253,0.0023
1.2545,-0.0011
1.256,0.0391
1.2575,0.0077
1.259,5e-04
1.2605,-0.0058
1.262,-0.0196
1.2635,0.0156
1.265,0.001
1.2665,-1e-04
1.268,0.02
1.2695,0.0146
1.271,0.0094
1.2725,0.0133
1.274,-0.0015
1.2755,0.0116
1.277,0.0119
1.2785,0.0126
1.28,0.0235
1.2815,0.0268
1.283,0.0192
1.2845,0.0282
1.286,0.0156
1.2875,0.0303
1.289,0.0198
1.2905,0.016
1.292,0.0437
1.2935,0.0261
1.295,0.0226
1.2965,0.0203
1.298,0.0365
1.2995,0.0342
1.301,0.0315
1.3025,0.0346
1.304,0.0403
1.3055,0.0819
1.307,0.0633
1.3085,0.0634
1.31,0.0923
1.3115,0.1045
1.313,0.1278
1.3145,0.1707
1.316,0.1571
1.3175,0.1952
1.319,0.1995
1.3205,0.3128
1.322,0.3566
1.3235,0.4999
1.325,0.5909
1.3265,0.7711
1.328,0.8677
1.3295,1.0069
1.331,0.9742
1.3325,0.8555
1.334,0.6801
1.3355,0.537
1.337,0.4159
1.3385,0.3492
1.34,0.2871
1.3415,0.2089
1.343,0.2109
1.3445,0.1495
1.346,0.1609
1.3475,0.1211
