gene_id,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
G0001,2362,742,2878,2825,2277,1089,1711,986,725,3153,2741,2083,1959,4441,4610,3365,1944,2798,3386,1931,2511,3997,3952,4262
G0002,770,261,1040,994,783,373,639,324,303,1147,1006,770,341,672,697,505,276,427,483,299,377,629,607,624
G0003,1672,554,2133,1971,1571,806,1471,864,718,2777,2462,1824,1163,2701,2748,2064,1266,1701,2389,1455,1750,2867,2856,3041
G0004,244,80,299,300,228,125,178,103,96,300,313,216,228,498,512,381,211,312,371,222,274,472,493,480
G0005,146,67,208,195,159,59,104,64,52,204,192,136,17,37,23,24,19,20,29,14,11,30,34,25
G0006,309,95,350,373,268,149,244,155,107,464,446,312,263,572,648,447,261,398,515,287,346,615,631,657
G0007,408,127,479,444,349,162,344,196,162,652,554,445,62,105,142,85,50,85,108,56,64,111,99,138
G0008,2797,870,3404,3420,2650,1338,2088,1194,991,3877,3382,2516,456,972,1125,814,471,662,794,420,563,871,937,1003
G0009,1006,324,1223,1187,920,443,707,476,349,1334,1123,893,242,521,601,379,270,362,402,267,256,480,443,504
G0010,653,221,823,841,677,345,487,284,228,915,784,648,1030,2225,2464,1722,1068,1472,1750,1006,1223,2053,2133,2207
G0011,964,327,1184,1159,958,422,707,416,309,1265,1150,834,70,176,211,150,93,113,154,78,110,162,143,184
G0012,1277,385,1451,1488,1169,556,892,524,415,1718,1472,1093,98,223,286,201,117,151,181,106,141,253,237,247
G0013,1816,598,2275,2184,1725,799,1340,832,663,2498,2128,1671,1295,2865,2939,2045,1233,1842,2094,1173,1547,2549,2404,2716
G0014,796,218,955,947,728,356,540,364,262,1054,939,745,199,358,394,296,162,244,272,157,198,339,343,369
G0015,19699,6339,24051,23630,18313,9097,14337,8400,6582,26250,23045,17646,11797,25699,28144,19422,11770,16660,19874,11538,14771,22950,23463,24792
G0016,1252,403,1669,1540,1192,621,988,573,422,1697,1494,1223,1479,3405,3725,2649,1611,2337,2694,1441,1996,3225,3085,3280
G0017,1320,391,1566,1535,1217,602,966,583,426,1674,1478,1169,1101,2440,2655,1839,1113,1608,1838,1075,1453,2241,2227,2367
G0018,718,233,899,870,655,320,539,299,262,995,863,670,146,320,384,264,163,200,246,138,214,306,326,319
G0019,84,28,129,115,81,51,76,30,24,119,120,100,124,310,378,263,159,231,272,148,207,298,329,342
G0020,64,15,57,48,50,25,37,13,11,68,39,39,25,56,85,53,32,38,52,32,42,45,64,61
G0021,957,1299,1810,613,5422,1255,857,1629,716,3203,2308,2048,3333,4534,5052,2240,1265,4369,4437,2156,1424,2021,6715,5047
G0022,2707,992,2976,2344,2185,858,1188,688,411,2333,1966,3057,156,301,377,401,153,165,269,79,188,247,516,680
G0023,413,185,403,513,484,276,277,622,631,1575,3054,1143,613,1250,313,814,977,1463,4466,626,1938,3858,4831,4072
G0024,233,44,167,485,78,147,62,84,141,486,173,87,12,87,68,65,8,88,120,53,97,1,76,292
G0025,168,20,121,143,216,3,7,28,146,362,681,112,28,124,45,104,104,28,189,14,23,85,95,121
