gene_id,base_lcpm,true_lfc,batch_effect,dispersion,is_de,is_poisson,age_nonlinear
G0001,6.5,1.2,0,1e-08,1,1,0
G0002,5,0,0,1e-08,0,1,0
G0003,6.0612,0.9097,0.2431,1e-08,1,1,0
G0004,3.2592,1.3226,0,1e-08,1,1,0
G0005,2.5666,-2.0342,0,1e-08,1,1,0
G0006,3.5461,1.2423,0.2039,1e-08,1,1,0
G0007,3.9285,-1.5102,0.3136,1e-08,1,1,0
G0008,6.7801,-1.2002,0,1e-08,1,1,0
G0009,5.2715,-0.6044,0,1e-08,1,1,0
G0010,4.7289,2.0334,0,1e-08,1,1,0
G0011,5.2098,-2.034,0,1e-08,1,1,0
G0012,5.5571,-1.9675,0,1e-08,1,1,0
G0013,6.1543,0.8737,0,1e-08,1,1,0
G0014,4.9269,-0.7667,0,1e-08,1,1,0
G0015,9.5705,0.6922,0,1e-08,1,1,0
G0016,5.6478,1.7176,0,1e-08,1,1,0
G0017,5.6212,1.2506,0,1e-08,1,1,0
G0018,4.7899,-0.7919,0,1e-08,1,1,0
G0019,1.9116,2.1592,0,1e-08,1,1,0
G0020,0.7957,0.8713,0,1e-08,1,1,0
G0021,6.5,1.2,0,0.2,1,0,0
G0022,6.4138,-2.1688,0,0.1004,1,0,0
G0023,4.9499,1.5393,1.0481,0.2241,1,0,0
G0024,3.447,-1.7723,0,0.5802,1,0,0
G0025,2.8187,-0.7981,0,0.8804,1,0,0
G0026,4.9257,-1.0673,-1.0001,0.2274,1,0,0
G0027,2.9206,1.0685,-0.2216,0.8225,1,0,0
G0028,5.525,2.4729,0,0.1603,1,0,0
G0029,3.0341,0.9553,0,0.7625,1,0,0
G0030,7.0977,-2.2087,0,0.07381,1,0,0
G0031,4.8425,-0.6279,0.1668,0.2391,1,0,0
G0032,3.6727,-1.1853,-0.4733,0.5005,1,0,0
G0033,3.5889,-0.9155,0,0.5286,1,0,0
G0034,2.1994,-1.2653,0,1.336,1,0,0
G0035,3.608,2.2661,0,0.5221,1,0,0
G0036,1.1524,-2.3488,0,2.729,1,0,0
G0037,1.5819,1.1018,-0.7379,2.034,1,0,0
G0038,5.0145,1.284,0,0.2156,1,0,0
G0039,5.0774,1.9329,-0.7945,0.2077,1,0,0
G0040,5.7762,2.3898,0,0.1395,1,0,0
G0041,1.1519,-0.8772,0,2.73,1,0,0
G0042,6.2,-2.2646,0,0.1116,1,0,0
G0043,7.6764,2.195,0,0.05933,1,0,0
G0044,3.3109,-1.4888,0,0.6346,1,0,0
G0045,2.5314,1.8601,0,1.068,1,0,0
G0046,3.9937,-1.8963,0,0.4066,1,0,0
G0047,2.5404,-1.9165,0,1.061,1,0,0
G0048,3.1264,1.2043,0,0.7171,1,0,0
G0049,2.4368,-1.2613,-0.9753,1.138,1,0,0
G0050,2.1797,1.9298,0,1.354,1,0,0
G0051,7.9166,-1.719,0,0.05483,1,0,0
G0052,6.2173,-1.1439,0,0.1106,1,0,0
G0053,5.0048,1.7701,0,0.2169,1,0,0
G0054,5.9735,-0.7693,0,0.1255,1,0,0
G0055,3.0424,1.6751,0,0.7583,1,0,0
G0056,6.6194,-0.9552,0,0.09103,1,0,0
G0057,3.3946,-1.6857,0,0.6005,1,0,0
G0058,5.7832,-0.9538,0,0.139,1,0,0
G0059,7.8366,1.7508,0,0.05625,1,0,0
G0060,0.5022,-1.4819,0,4.266,1,0,0
G0061,6.5,0,0,0.05,0,0,1
G0062,4.7936,0,0.3751,0.2463,0,0,0
G0063,1.8376,0,0.2039,1.709,0,0,0
G0064,5.1222,0,0,0.2023,0,0,0
G0065,5.3192,0,0,0.1803,0,0,0
G0066,3.3375,0,0.9457,0.6236,0,0,0
G0067,6.1837,0,0.1646,0.1125,0,0,0
G0068,4.876,0,0,0.2343,0,0,0
G0069,7.3449,0,-0.0735,0.06691,0,0,0
G0070,3.0931,0,0,0.7331,0,0,0
G0071,5.8332,0,0.0376,0.1352,0,0,0
G0072,2.6446,0,-0.4642,0.9895,0,0,0
G0073,5.8132,0,0.2587,0.1367,0,0,0
G0074,1.809,0,0,1.742,0,0,0
G0075,3.2195,0,-0.8226,0.6741,0,0,0
G0076,3.8902,0,0,0.4347,0,0,0
G0077,3.5887,0,0,0.5287,0,0,0
G0078,2.5598,0,0,1.048,0,0,0
G0079,4.1931,0,0,0.358,0,0,0
G0080,7.0324,0,0,0.07583,0,0,0
G0081,4.9185,0,0,0.2284,0,0,0
G0082,1.6061,0,0,2.001,0,0,0
G0083,5.2759,0,0,0.1849,0,0,0
G0084,2.2934,0,0,1.254,0,0,0
G0085,2.8356,0,0,0.8705,0,0,0
G0086,4.654,0,0,0.2683,0,0,0
G0087,2.5258,0,0,1.072,0,0,0
G0088,3.0297,0,-0.4779,0.7647,0,0,0
G0089,-0.3561,0,0.3999,7.71,0,0,0
G0090,2.1846,0,0,1.35,0,0,0
G0091,6.1011,0,0,0.1174,0,0,0
G0092,1.0285,0,0,2.971,0,0,0
G0093,0.4323,0,0,4.476,0,0,0
G0094,3.6662,0,-0.2352,0.5026,0,0,0
G0095,2.4261,0,0,1.146,0,0,0
G0096,4.3092,0,-0.1598,0.3327,0,0,0
G0097,5.4687,0,0,0.1655,0,0,0
G0098,6.7242,0,0,0.08675,0,0,0
G0099,3.5013,0,0,0.5599,0,0,0
G0100,3.3921,0,0,0.6015,0,0,0
G0101,6.1512,0,0,0.1144,0,0,0
G0102,2.8831,0,0,0.8433,0,0,0
G0103,2.807,0,0,0.8873,0,0,0
G0104,3.0795,0,0,0.7398,0,0,0
G0105,3.4104,0,0,0.5943,0,0,0
G0106,5.8296,0,0,0.1355,0,0,0
G0107,1.8194,0,0,1.73,0,0,0
G0108,3.8403,0,0,0.4489,0,0,0
G0109,3.5148,0,0.4367,0.5549,0,0,0
G0110,3.2426,0,0.3855,0.6639,0,0,0
G0111,4.1736,0,0,0.3625,0,0,0
G0112,5.461,0,0,0.1662,0,0,0
G0113,4.491,0,0,0.2968,0,0,0
G0114,2.1652,0,0,1.368,0,0,0
G0115,5.5479,0,0,0.1583,0,0,0
G0116,4.6279,0,0,0.2727,0,0,0
G0117,5.7522,0,0.0864,0.1413,0,0,0
G0118,3.8565,0,0,0.4442,0,0,0
G0119,3.9517,0,-0.2418,0.4178,0,0,0
G0120,3.6422,0,0,0.5105,0,0,0
G0121,3.3691,0,0,0.6107,0,0,0
G0122,5.4636,0,0,0.166,0,0,0
G0123,5.2682,0,0,0.1857,0,0,0
G0124,4.2816,0,0,0.3385,0,0,0
G0125,5.1753,0,0.1685,0.1961,0,0,0
G0126,8.1834,0,0.663,0.05064,0,0,0
G0127,4.3796,0,0,0.3182,0,0,0
G0128,5.6102,0,0,0.1528,0,0,0
G0129,5.8368,0,0,0.135,0,0,0
G0130,2.8911,0,0,0.8388,0,0,0
G0131,5.5485,0,0,0.1582,0,0,0
G0132,5.1775,0,0,0.1958,0,0,0
G0133,4.2088,0,0,0.3545,0,0,0
G0134,1.9167,0,0,1.619,0,0,0
G0135,2.5044,0,0,1.087,0,0,0
G0136,2.8149,0,0,0.8827,0,0,0
G0137,3.8864,0,0,0.4357,0,0,0
G0138,4.4891,0,-0.0157,0.2972,0,0,0
G0139,2.7241,0,0,0.938,0,0,0
G0140,6.0206,0,-0.4414,0.1224,0,0,0
G0141,3.753,0,0,0.475,0,0,0
G0142,4.8708,0,-0.5576,0.2351,0,0,0
G0143,3.736,0,0,0.4803,0,0,0
G0144,2.7525,0,0.2699,0.9204,0,0,0
G0145,4.1414,0,0.4761,0.37,0,0,0
G0146,3.6833,0,0,0.4971,0,0,0
G0147,3.4175,0,0,0.5915,0,0,0
G0148,6.2709,0,0.552,0.1077,0,0,0
G0149,5.8914,0,0,0.1311,0,0,0
G0150,2.5453,0,0,1.058,0,0,0
G0151,2.1889,0,0,1.346,0,0,0
G0152,2.1833,0,0,1.351,0,0,0
G0153,3.8498,0,0,0.4462,0,0,0
G0154,7.5938,0,0.1668,0.06106,0,0,0
G0155,5.516,0,0,0.1611,0,0,0
G0156,3.4973,0,0,0.5613,0,0,0
G0157,4.3509,0,0,0.324,0,0,0
G0158,3.4575,0,0.1809,0.5762,0,0,0
G0159,4.5441,0,0,0.2872,0,0,0
G0160,4.8775,0,0,0.2341,0,0,0
G0161,3.7741,0,0,0.4686,0,0,0
G0162,0.1708,0,0,5.36,0,0,0
G0163,4.5318,0,0,0.2894,0,0,0
G0164,6.255,0,0,0.1086,0,0,0
G0165,2.0501,0,0,1.479,0,0,0
G0166,4.0818,0,0.3304,0.3843,0,0,0
G0167,4.0091,0,-0.1768,0.4026,0,0,0
G0168,5.5795,0,0,0.1555,0,0,0
G0169,4.1133,0,0,0.3767,0,0,0
