gene,is_svg,trend,sigma2_sp,range,tau2_gm,tau2_wm
g01,1,0.1,0.3,3,0.1225,0.36
g02,1,0,0.1683,4.717,0.16,0.16
g03,1,0,0.325,3.149,0.16,0.16
g04,1,0,0.3605,2.699,0.16,0.16
g05,1,0,0.3899,4.419,0.16,0.16
g06,1,0,0.3364,4.566,0.16,0.16
g07,1,0,0.3325,2.049,0.16,0.16
g08,1,0,0.2209,2.134,0.16,0.16
g09,1,0,0.2821,4.887,0.16,0.16
g10,1,0,0.1803,1.502,0.16,0.16
g11,0,0,0,NA,0.25,0.25
g12,0,0,0,NA,0.25,0.25
g13,0,0,0,NA,0.25,0.25
g14,0,0,0,NA,0.25,0.25
g15,0,0,0,NA,0.25,0.25
g16,0,0,0,NA,0.25,0.25
g17,0,0,0,NA,0.25,0.25
g18,0,0,0,NA,0.25,0.25
g19,0,0,0,NA,0.25,0.25
g20,0,0,0,NA,0.25,0.25
g21,0,0,0,NA,0.25,0.25
g22,0,0,0,NA,0.25,0.25
g23,0,0,0,NA,0.25,0.25
g24,0,0,0,NA,0.25,0.25
g25,0,0,0,NA,0.25,0.25
g26,0,0,0,NA,0.25,0.25
g27,0,0,0,NA,0.25,0.25
g28,0,0,0,NA,0.25,0.25
g29,0,0,0,NA,0.25,0.25
g30,0,0,0,NA,0.25,0.25
g31,0,0,0,NA,0.25,0.25
g32,0,0,0,NA,0.25,0.25
g33,0,0,0,NA,0.25,0.25
g34,0,0,0,NA,0.25,0.25
g35,0,0,0,NA,0.25,0.25
g36,0,0,0,NA,0.25,0.25
g37,0,0,0,NA,0.25,0.25
g38,0,0,0,NA,0.25,0.25
g39,0,0,0,NA,0.25,0.25
g40,0,0,0,NA,0.25,0.25
g41,0,0,0,NA,0.25,0.25
g42,0,0,0,NA,0.25,0.25
g43,0,0,0,NA,0.25,0.25
g44,0,0,0,NA,0.25,0.25
g45,0,0,0,NA,0.25,0.25
g46,0,0,0,NA,0.25,0.25
g47,0,0,0,NA,0.25,0.25
g48,0,0,0,NA,0.25,0.25
g49,0,0,0,NA,0.25,0.25
g50,0,0,0,NA,0.25,0.25
